                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.48618,                 1.0343,                0.52268,                 1.0015,                0.73722,                0.65273,                0.70591,                0.55716,                0.73361,                0.64999,                0.70592,                0.51983,                0.80118,                 1.7887,                 1.0679,                 1.2424,             0.00046688,             0.00046688,             0.00046688
                     39,                0.47114,                0.99875,                0.50782,                0.99695,                0.74232,                0.68519,                0.72072,                0.56376,                 0.7389,                0.68178,                 0.7147,                0.52989,                0.79522,                 1.8529,                 1.0438,                 1.2572,             0.00043354,             0.00043354,             0.00043354
                     40,                0.45639,                 0.9549,                0.48542,                0.98257,                0.76542,                0.64925,                0.71312,                0.55251,                0.73441,                0.65626,                0.70082,                 0.5165,                0.80981,                 1.8499,                 1.1085,                 1.2736,             0.00040021,             0.00040021,             0.00040021
                     41,                0.38865,                0.91256,                 0.3816,                0.94845,                0.77202,                0.63851,                0.72411,                0.55979,                0.74975,                0.65911,                0.71919,                0.52493,                0.81873,                 1.8838,                 1.0522,                 1.2871,             0.00036687,             0.00036687,             0.00036687
                     42,                0.38023,                0.85922,                0.36788,                0.94015,                0.72242,                0.68916,                0.72383,                  0.562,                0.77973,                 0.6508,                 0.7218,                0.53357,                0.81704,                 1.8325,                 1.0666,                 1.2913,             0.00033353,             0.00033353,             0.00033353
                     43,                0.36675,                0.83361,                 0.3417,                0.92751,                0.75339,                0.66456,                0.72223,                0.56426,                0.75813,                0.66934,                0.72105,                0.54187,                 0.7918,                 1.7692,                 1.0425,                 1.2623,              0.0003002,              0.0003002,              0.0003002
                     44,                0.34504,                0.80074,                0.32104,                0.91144,                 0.7665,                0.67616,                0.73705,                0.58294,                0.72097,                0.70489,                 0.7293,                0.54547,                0.78189,                 1.8232,                 1.0305,                 1.2663,             0.00026686,             0.00026686,             0.00026686
                     45,                0.33765,                0.78582,                0.30864,                0.91024,                0.77055,                0.68199,                0.73552,                0.58185,                 0.7727,                0.66812,                0.72303,                0.54189,                0.77693,                 1.8863,                 1.0428,                 1.2932,             0.00023352,             0.00023352,             0.00023352
                     46,                0.32861,                0.76346,                0.30005,                0.90721,                0.79325,                0.63211,                0.71705,                0.56588,                0.79155,                0.63355,                0.71608,                0.53817,                0.80169,                 1.8803,                 1.0488,                 1.3112,             0.00020019,             0.00020019,             0.00020019
                     47,                0.31793,                0.73725,                0.27812,                0.90255,                0.80238,                0.63034,                0.72114,                0.58225,                0.80443,                0.63205,                0.72126,                0.55113,                0.75125,                 1.8223,                 1.0828,                 1.2568,             0.00016685,             0.00016685,             0.00016685
                     48,                0.30471,                0.70326,                0.25968,                0.88818,                0.75566,                0.67359,                0.73211,                0.58669,                0.72727,                0.68726,                0.73268,                0.55561,                 0.7537,                 1.8144,                 1.0549,                 1.2644,             0.00013351,             0.00013351,             0.00013351
                     49,                0.29521,                0.68424,                0.25497,                0.88504,                0.76686,                0.66762,                0.73248,                0.58596,                0.76237,                0.66228,                0.73345,                0.55726,                0.76263,                 1.8466,                 1.0744,                 1.2691,             0.00010018,             0.00010018,             0.00010018
                     50,                 0.2864,                0.68166,                0.24839,                0.88141,                0.76122,                0.68607,                0.73245,                 0.5904,                0.75883,                0.67624,                0.73367,                0.56245,                0.75014,                 1.8531,                   1.07,                 1.2728,              6.684e-05,              6.684e-05,              6.684e-05
